sofifa_id,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,overall,player_positions
209402,E. Acolatse,Elton Acolatse,23,1995-07-25,180,80,Netherlands,Sint-Truidense VV,Belgian Jupiler Pro League,68,"LM, RM, ST"
209510,A. Corryn,Alexander Corryn,25,1994-01-03,177,73,Belgium,KV Mechelen,Belgian Jupiler Pro League,68,"CDM, LB"
210366,N. Lomb,Niklas Lomb,25,1993-07-28,187,84,Germany,Bayer 04 Leverkusen,German 1. Bundesliga,68,GK
210476,M. Kuster,Markus Kuster,25,1994-02-22,194,82,Austria,SV Mattersburg,Austrian Football Bundesliga,68,GK
213841,V. Lekhal,Victor Lekhal,25,1994-02-27,187,72,France,Le Havre AC,French Ligue 2,68,CDM
214194,A. Correa,Andrés Correa Valencia,25,1994-01-29,175,75,Colombia,La Equidad,Colombian Liga Postobón,68,LB
214930,Caro,José Antonio Caro Martínez,26,1993-03-08,182,70,Spain,Albacete BP,Spanish Segunda División,68,"CB, RB"
215328,G. Gil Romero,Gastón Ignacio Gil Romero,26,1993-05-06,177,77,Argentina,Club Atlético Aldosivi,Argentina Primera División,68,CDM
216346,A. Powell,Alvas Elvis Powell,24,1994-07-18,182,75,Jamaica,FC Cincinnati,USA Major League Soccer,68,RB
219558,G. Koomson,Gilbert Koomson,24,1994-09-09,180,69,Ghana,SK Brann,Norwegian Eliteserien,68,RW
219941,G. Castellón,Gabriel Jesús Castellón Velazquez,25,1993-09-08,190,78,Chile,CD Huachipato,Chilian Campeonato Nacional,68,GK
222930,T. Serbest,Tarkan Serbest,25,1994-05-02,185,79,Turkey,FK Austria Wien,Austrian Football Bundesliga,68,"CM, CDM"
223214,K. Friesenbichler,Kevin Friesenbichler,25,1994-05-06,188,75,Austria,VfL Osnabrück,German 2. Bundesliga,68,ST
223566,W. Dammers,Wessel Dammers,24,1995-03-01,185,68,Netherlands,Fortuna Sittard,Holland Eredivisie,68,CB
223867,A. Gruber,Andreas Gruber,24,1995-06-29,174,70,Austria,SV Mattersburg,Austrian Football Bundesliga,68,"LM, ST"
229147,João Vigário,João Miguel Ribeiro Vigário,23,1995-11-20,181,74,Portugal,CD Tondela,Portuguese Liga ZON SAGRES,68,LB
229360,Unai Bilbao,Unai Bilbao Arteta,25,1994-02-04,192,88,Spain,Atlético de San Luis,Mexican Liga MX,68,CB
229686,Henrique,Henrique Gelain Custódio,24,1995-01-05,180,81,Brazil,Portimonense SC,Portuguese Liga ZON SAGRES,68,LB
229890,E. Hackman,Emmanuel Hackman,24,1995-05-14,187,76,Ghana,Portimonense SC,Portuguese Liga ZON SAGRES,68,RB
231878,T. Miller,Tyler Miller,26,1993-03-12,193,93,United States,Los Angeles FC,USA Major League Soccer,68,GK
232358,Judson,Judson Silva Tavares,26,1993-05-25,170,71,Brazil,San Jose Earthquakes,USA Major League Soccer,68,CDM
233588,Elgezabal,Unai Elgezabal Udondo,26,1993-04-25,185,74,Spain,AD Alcorcón,Spanish Segunda División,68,CB
233911,Matos,José Joaquín Matos García,24,1995-05-06,168,64,Spain,FC Twente,Holland Eredivisie,68,LB
234172,B. Bese,Barnabás Bese,25,1994-05-06,188,84,Hungary,Le Havre AC,French Ligue 2,68,RB
234834,K. Andrić,Komnen Andrić,24,1995-07-01,189,85,Serbia,Dinamo Zagreb,Rest of World,68,ST
234994,Ratón,Álvaro López Ratón,26,1993-03-20,192,84,Spain,Real Zaragoza,Spanish Segunda División,68,GK
237023,Y. Merdji,Yanis Merdji,25,1993-10-29,174,72,France,AJ Auxerre,French Ligue 2,68,"ST, CAM"
237882,L. Parunashvili,Lasha Parunashvili,26,1993-02-14,183,75,Georgia,Esbjerg fB,Danish Superliga,68,CDM
237895,V. van Crooij,Vito van Crooij,23,1996-01-29,177,70,Netherlands,PEC Zwolle,Holland Eredivisie,68,"LW, RW"
238619,J. Nikolaou,Jannis Nikolaou,25,1993-07-31,183,83,Germany,SG Dynamo Dresden,German 2. Bundesliga,68,"CDM, CB, CM"
238942,N. Mitrović,Nemanja Mitrović,26,1992-10-15,193,90,Slovenia,Jagiellonia Białystok,Polish T-Mobile Ekstraklasa,68,CB
239097,D. Srbeny,Dennis Srbeny,25,1994-05-05,190,83,Germany,Norwich City,English Premier League,68,ST
239980,O. Popescu,Ovidiu Marian Popescu,25,1994-02-24,189,77,Romania,FCSB (Steaua),Romanian Liga I,68,CDM
244790,U. Ekpai,Ubong Moses Ekpai,23,1995-10-17,176,74,Nigeria,Viktoria Plzeň,Czech Republic Gambrinus Liga,68,RW
245538,K. Furuhashi,古橋 亨梧,24,1995-01-20,170,63,Japan,Vissel Kobe,Japanese J. League Division 1,68,"LM, RM, CAM"
247270,I. Alibaev,Ikromjon Alibaev,25,1994-01-09,173,62,Uzbekistan,FC Seoul,Korean K League Classic,68,"CM, CDM"
248834,Gonçalo Gregório,Gonçalo de Almeida Gregório,24,1995-06-14,184,72,Portugal,SC Braga,Portuguese Liga ZON SAGRES,68,ST
251399,L. Kambole,Lazarous Kambole,25,1994-01-20,170,75,Zambia,Kaizer Chiefs,Rest of World,68,"ST, RW, LW"
251681,Maracás,Jóbson de Brito Gonzaga,25,1994-04-27,184,71,Brazil,FC Paços de Ferreira,Portuguese Liga ZON SAGRES,68,CB
252682,A. Mansour,Ahmed Ayman Mansour,25,1994-04-13,178,70,Egypt,,,68,"CB, LB, LM"
191192,D. Petrucci,Davide Petrucci,27,1991-10-05,184,76,Italy,Ascoli,Italian Serie B,68,"CDM, CM"
193716,D. Wilson,Daniel John Wilson,27,1991-12-27,188,79,Scotland,Colorado Rapids,USA Major League Soccer,68,"CB, CDM"
198511,Mika,Michael Simões Domingues,28,1991-03-08,195,90,Portugal,Os Belenenses,Portuguese Liga ZON SAGRES,68,GK
200793,C. Robertson,Clark Robertson,25,1993-09-05,188,76,Scotland,Rotherham United,English League One,68,CB
201888,V. Berisha,Veton Berisha,25,1994-04-13,175,75,Norway,SK Brann,Norwegian Eliteserien,68,"ST, LW"
202889,A. Öztürk,Alpaslan Öztürk,25,1993-07-16,186,90,Belgium,Göztepe SK,Turkish Süper Lig,68,CDM
203060,J. Vela,Josh Vela,25,1993-12-14,185,70,England,Hibernian,Scottish Premiership,68,"CM, CDM, CAM"
203069,R. Tunnicliffe,Ryan Tunnicliffe,26,1992-12-30,183,80,England,Luton Town,English League Championship,68,"CM, CDM"
203265,T. Blackett,Tyler Blackett,25,1994-04-02,188,87,England,Reading,English League Championship,68,"LB, CB"
203308,J. Brillante,Joshua Brillante,26,1993-03-25,177,73,Australia,Melbourne City FC,Australian Hyundai A-League,68,"CDM, CM"
204044,M. Kobylański,Martin Kobylański,25,1994-03-08,178,75,Poland,Eintracht Braunschweig,German 3. Bundesliga,68,"CAM, CM, CF"
204701,S. Khelifi,Salim Khelifi,25,1994-01-26,173,65,Switzerland,FC Zürich,Swiss Super League,68,"RM, LM"
205190,B. Sankoh,Baïssama Sankoh,27,1992-03-20,180,73,Guinea,Stade Malherbe Caen,French Ligue 2,68,"CDM, CM"
205712,Bruno Andrade,Bruno Miguel Carvalho Andrade,25,1993-10-02,175,74,Portugal,Lincoln City,English League One,68,LM
205845,Tiago Ferreira,Tiago Emanuel Canelas Almeida Ferreira,25,1993-07-10,183,76,Portugal,Universitatea Craiova,Romanian Liga I,68,CB
205894,P. Iliev,Plamen Ivanov Iliev,27,1991-11-30,180,69,Bulgaria,,,68,GK
206159,S. Sabelli,Stefano Sabelli,26,1993-01-13,180,74,Italy,Brescia,Italian Serie A,68,RB
206653,B. Potts,Brad Potts,24,1994-07-03,188,81,England,Preston North End,English League Championship,68,"RM, CM, LM"
207660,D. Wydra,Dominik Wydra,25,1994-03-21,186,85,Austria,FC Erzgebirge Aue,German 2. Bundesliga,68,"CB, CDM"
207712,N. Bertrams,Nigel Bertrams,26,1993-01-08,185,81,Netherlands,FC Nordsjælland,Danish Superliga,68,GK
208022,I. Ezekiel,Imoh Ezekiel,25,1993-10-24,178,70,Nigeria,KV Kortrijk,Belgian Jupiler Pro League,68,"ST, RM"
208626,A. Said,Said Ahmed Said,26,1993-04-20,180,70,Italy,Rio Ave FC,Portuguese Liga ZON SAGRES,68,ST
208894,F. Bednarek,Filip Bednarek,26,1992-09-26,188,81,Poland,SC Heerenveen,Holland Eredivisie,68,GK
209335,K. Haugen,Kristoffer Haugen,25,1994-02-21,188,77,Norway,Molde FK,Norwegian Eliteserien,68,LB
209701,J. Pelupessy,Joey Pelupessy,26,1993-05-15,172,63,Netherlands,Sheffield Wednesday,English League Championship,68,"CDM, CM"
210011,T. Ondaan,Terell Ondaan,25,1993-09-09,171,72,Guyana,Grenoble Foot 38,French Ligue 2,68,"LW, ST"
210409,L. MacLeod,Lewis MacLeod,25,1994-06-16,175,72,Scotland,Wigan Athletic,English League Championship,68,"CM, CAM"
211037,De La Hoz,César De La Hoz López,27,1992-03-30,179,74,Spain,UD Almería,Spanish Segunda División,68,"CDM, CM"
211299,K. Roos,Kelle Roos,27,1992-05-31,196,90,Netherlands,Derby County,English League Championship,68,GK
211438,M. Bürki,Marco Bürki,25,1993-07-10,181,82,Switzerland,SV Zulte-Waregem,Belgian Jupiler Pro League,68,"CB, LB"
211514,R. James,Reece James,25,1993-11-07,169,71,England,Doncaster Rovers,English League One,68,LB
211574,M. Bakić,Marko Bakić,25,1993-11-01,185,78,Montenegro,Royal Excel Mouscron,Belgian Jupiler Pro League,68,"CM, CAM"
212104,J. Gómez,Jaime Gómez Valencia,25,1993-07-17,176,67,Mexico,Querétaro,Mexican Liga MX,68,"CM, CDM, RB"
212409,A. Rentería,Andrés Jair Rentería Morelo,26,1993-03-06,179,79,Colombia,Rionegro Águilas,Colombian Liga Postobón,68,"ST, LM"
214343,D. Moreno,Didier Andrés Moreno Asprilla,27,1991-09-15,178,71,Colombia,Independiente Medellín,Colombian Liga Postobón,68,"CDM, CM"
214582,C. Bonilla,Cristian Harson Bonilla Garzón,26,1993-06-02,189,80,Colombia,La Equidad,Colombian Liga Postobón,68,GK
215208,E. Isnaldo,Eugenio Horacio Isnaldo,25,1994-01-07,180,72,Argentina,Unión La Calera,Chilian Campeonato Nacional,68,"LM, LW, ST"
215604,C. Brunner,Cédric Brunner,25,1994-02-17,180,75,Switzerland,DSC Arminia Bielefeld,German 2. Bundesliga,68,"RB, CB"
215969,L. Dos Santos,Laurent Dos Santos,26,1993-03-21,177,70,France,Valenciennes FC,French Ligue 2,68,"RB, LB, LWB"
216078,F. Raičević,Filip Raičević,25,1993-07-02,188,75,Montenegro,Livorno,Italian Serie B,68,ST
216568,Mario Barco,Mario Barco Vilar,26,1992-12-23,183,84,Spain,CD Mirandés,Spanish Segunda División,68,ST
218658,D. Iorfa,Dominic Iorfa,24,1995-06-24,193,78,England,Sheffield Wednesday,English League Championship,68,"RB, RWB, CB"
219871,J. Medranda,Jimmy Gerardo Medranda Obando,25,1994-02-07,173,68,Colombia,Sporting Kansas City,USA Major League Soccer,68,"LB, CM, LW"
220051,M. Miloš,Mato Miloš,26,1993-06-30,175,70,Croatia,CD Aves,Portuguese Liga ZON SAGRES,68,RB
221144,Alain Oyarzun,Alain Oyarzun Aguilar,25,1993-09-27,178,71,Spain,CD Numancia,Spanish Segunda División,68,"LM, LW"
221926,M. Araz,Musa Araz,25,1994-01-17,173,69,Switzerland,Atiker Konyaspor,Turkish Süper Lig,68,"CAM, CM, RM"
222565,Han Eui Kwon,한의권 韩权五,25,1994-06-30,181,73,Korea Republic,Suwon Samsung Bluewings,Korean K League Classic,68,"LW, ST"
222838,B. Ajdini,Bashkim Ajdini,26,1992-12-10,176,73,Germany,VfL Osnabrück,German 2. Bundesliga,68,"RB, RM"
223747,S. Kingsley,Stephen Kingsley,24,1994-07-23,178,77,Scotland,Hull City,English League Championship,68,LB
223793,S. Grahovac,Srdjan Grahovac,26,1992-09-19,182,75,Bosnia Herzegovina,SK Rapid Wien,Austrian Football Bundesliga,68,"CDM, CM, CB"
223819,Juan Cámara,Juan del Cármen Cámara Mesa,25,1994-02-13,180,66,Spain,Jagiellonia Białystok,Polish T-Mobile Ekstraklasa,68,"LM, RM"
224436,S. Väisänen,Sauli Aapo Kasperi Väisänen,25,1994-06-05,190,75,Finland,SPAL,Italian Serie A,68,CB
224584,Jairo,Jairo Izquierdo González,25,1993-10-22,165,64,Spain,Girona FC,Spanish Segunda División,68,"LM, CAM, RM"
225875,N. Kreuzer,Niklas Kreuzer,26,1993-02-20,178,76,Germany,SG Dynamo Dresden,German 2. Bundesliga,68,"RB, RW"
228716,Kevin,Kevin Vázquez Comesaña,26,1993-03-23,173,72,Spain,RC Celta,Spain Primera Division,68,RB
228912,B. Allain,Bobby Allain,27,1991-11-28,185,77,France,Olympiacos CFP,Rest of World,68,GK
229654,Gerard Valentín,Gerard Valentín Sancho,25,1993-07-28,177,75,Spain,CD Lugo,Spanish Segunda División,68,"RB, RM, RWB"
229905,A. Bardakcı,Abdülkerim Bardakcı,24,1994-09-07,190,80,Turkey,Atiker Konyaspor,Turkish Süper Lig,68,CB
229966,Nando,Fernando García Puchades,25,1994-06-13,178,68,Spain,Deportivo Alavés,Spain Primera Division,68,"RM, LM, ST"
230019,V. N'Simba,Vital Manuel N'Simba,25,1993-07-08,167,67,DR Congo,Clermont Foot 63,French Ligue 2,68,LB
230984,F. Gino,Federico Gino Acevedo Fagúndez,26,1993-02-26,176,70,Uruguay,Club Atlético Aldosivi,Argentina Primera División,68,"CM, RB, CDM"
231706,K. Londoño,Kevin Alexander Londoño Asprilla,25,1993-11-23,180,72,Colombia,Once Caldas,Colombian Liga Postobón,68,RM
232691,Kim Min Hyeok,김민혁 金珉赫,27,1992-02-27,187,73,Korea Republic,Jeonbuk Hyundai Motors,Korean K League Classic,68,CB
233329,M. Villanueva,Mikel Villanueva Álvarez,26,1993-04-14,192,78,Venezuela,Málaga CF,Spanish Segunda División,68,"CB, LB"
234284,C. Soukou,Cebio Soukou,26,1992-10-02,186,82,Benin,DSC Arminia Bielefeld,German 2. Bundesliga,68,"ST, RW, RM"
237537,V. Kostevych,Volodymyr Kostevych,26,1992-10-23,174,66,Ukraine,Lech Poznań,Polish T-Mobile Ekstraklasa,68,LB
238666,A. Nandzik,Alexander Nandzik,26,1992-09-12,172,70,Germany,SSV Jahn Regensburg,German 2. Bundesliga,68,LB
239523,M. Rossmann,Maximilian Rossmann,24,1995-05-06,192,90,Germany,Heracles Almelo,Holland Eredivisie,68,CB
241750,S. Bguir,Saâd Bguir,25,1994-03-22,178,66,Tunisia,Abha Club,Saudi Abdul L. Jameel League,68,"CAM, CF"
243806,O. Darfalou,Oussama Darfalou,25,1993-09-29,184,80,Algeria,Vitesse,Holland Eredivisie,68,ST
245148,M. Comba,Maximiliano Gabriel Comba,25,1994-01-16,170,68,Argentina,Gimnasia y Esgrima La Plata,Argentina Primera División,68,"RM, LW, LM"
248002,A. Miron,George Andrei Miron,25,1994-05-28,185,82,Romania,FC Botoşani,Romanian Liga I,68,CB
248003,A. Burcă,Andrei Andonie Burcă,26,1993-04-15,187,82,Romania,CFR Cluj,Romanian Liga I,68,CB
184040,M. Hansen,Martin Hansen,29,1990-06-15,189,85,Denmark,Strømsgodset IF,Norwegian Eliteserien,68,GK
188601,A. Coeff,Alexandre Serge Coeff,27,1992-02-20,185,67,France,AJ Auxerre,French Ligue 2,68,"CDM, RB, CM"
190491,R. Gabrielsen,Lunan Ruben Gabrielsen,27,1992-03-10,186,87,Norway,Molde FK,Norwegian Eliteserien,68,"CB, RB, LB"
190793,H. Vučkić,Haris Vučkić,26,1992-08-21,186,83,Slovenia,FC Twente,Holland Eredivisie,68,"CAM, ST, CM"
198953,S. Benedetti,Simone Benedetti,27,1992-04-03,190,80,Italy,Pisa,Italian Serie B,68,"CB, RB"
199491,Fran García,Francisco García Solsona,26,1992-12-07,174,70,Spain,Albacete BP,Spanish Segunda División,68,LB
200689,R. Leonard,Ryan Leonard,27,1992-05-24,185,82,England,Millwall,English League Championship,68,"CDM, CM"
201359,M. Abu,Mohammed Abu,27,1991-11-14,170,68,Ghana,Vålerenga Fotball,Norwegian Eliteserien,68,"CDM, CM"
202043,K. Holmberg,Karl Holmberg,26,1993-03-03,185,73,Sweden,IFK Norrköping,Swedish Allsvenskan,68,ST
202164,P. Kitchen,Perry Kitchen,27,1992-02-29,183,73,United States,LA Galaxy,USA Major League Soccer,68,"CDM, CM"
202469,D. Bingham,David Bingham,29,1989-10-19,188,86,United States,LA Galaxy,USA Major League Soccer,68,GK
202910,D. Mitov Nilsson,David Mitov Nilsson,28,1991-01-12,190,86,North Macedonia,GIF Sundsvall,Swedish Allsvenskan,68,GK
203225,J. Jeggo,James Alexander Jeggo,27,1992-02-12,178,71,Australia,FK Austria Wien,Austrian Football Bundesliga,68,"CDM, CM"
203388,Tiago Alves,Tiago Alves Sales de Lima,26,1993-01-12,182,72,Brazil,Sagan Tosu,Japanese J. League Division 1,68,"ST, CAM"
205655,A. MacDonald,Angus MacDonald,26,1992-10-15,184,70,England,Hull City,English League Championship,68,CB
208102,K. Larsen,Kasper Larsen,26,1993-01-25,190,88,Denmark,IFK Norrköping,Swedish Allsvenskan,68,CB
208158,F. Andrada,Federico Oscar Andrada,25,1994-03-03,180,76,Argentina,Club Atlético Aldosivi,Argentina Primera División,68,ST
208592,M. Delgado,Marky Delgado,24,1995-05-16,175,66,United States,Toronto FC,USA Major League Soccer,68,"CM, CDM"
210543,M. Migliorini,Marco Migliorini,27,1992-01-03,194,86,Italy,US Salernitana 1919,Italian Serie B,68,CB
211315,Israel Puerto,Israel Puerto Pineda,26,1993-06-15,187,75,Spain,Śląsk Wrocław,Polish T-Mobile Ekstraklasa,68,CB
211619,S. Bateau,Sheldon Michael Louis Bateau,28,1991-01-29,186,85,Trinidad & Tobago,KV Mechelen,Belgian Jupiler Pro League,68,"CB, RB"
212643,P. Cibicki,Paweł Cibicki,25,1994-01-09,182,66,Sweden,Leeds United,English League Championship,68,"ST, LM, RM"
212932,Y. Ono,小野 裕二,26,1992-12-22,170,69,Japan,Sagan Tosu,Japanese J. League Division 1,68,"CAM, ST"
213644,A. Geipl,Andreas Geipl,27,1992-04-21,178,73,Germany,SSV Jahn Regensburg,German 2. Bundesliga,68,"CDM, CM"
214217,B. Vidal,Benjamín Fernando Vidal Allendes,28,1991-03-18,179,77,Chile,Coquimbo Unido,Chilian Campeonato Nacional,68,CB
215404,Bruno Pires,Bruno Batista Pereira Pires,27,1992-05-12,184,80,Brazil,Vitória de Setúbal,Portuguese Liga ZON SAGRES,68,CB
215650,L. Bijker,Lucas Bijker,26,1993-03-04,175,74,Netherlands,KV Mechelen,Belgian Jupiler Pro League,68,"LB, CB"
217620,A. Seck,Abdoulaye Seck,27,1992-06-04,192,95,Senegal,Royal Antwerp FC,Belgian Jupiler Pro League,68,CB
220035,A. Ajagun,Abdul Jeleel Ajagun,26,1993-02-10,168,65,Nigeria,KV Kortrijk,Belgian Jupiler Pro League,68,"CAM, RM"
221605,A. Jeremejeff,Alexander Thomas Jeremejeff,25,1993-10-12,192,85,Sweden,SG Dynamo Dresden,German 2. Bundesliga,68,ST
222883,T. Touré,Thomas Touré,25,1993-12-27,175,72,Ivory Coast,FC Sochaux-Montbéliard,French Ligue 2,68,"LM, ST, RM"
223104,M. McNulty,Marc McNulty,26,1992-09-14,178,70,Scotland,Sunderland,English League One,68,"ST, CF"
223330,M. Moscati,Marco Moscati,26,1992-11-01,180,75,Italy,Perugia,Italian Serie B,68,"CM, RB, RM"
223332,M. Sprocati,Mattia Sprocati,25,1993-11-30,173,75,Italy,Parma,Italian Serie A,68,"LW, RW"
224250,D. Roßbach,Damian Roßbach,26,1993-02-27,187,83,Germany,Karlsruher SC,German 2. Bundesliga,68,"LB, CDM"
227919,L. Ospina,Luciano Alejandro Ospina Londoño,28,1991-02-18,190,80,Colombia,Alianza Petrolera,Colombian Liga Postobón,68,CB
227998,D. Badji,Dominique Badji,26,1992-10-16,183,79,Senegal,FC Dallas,USA Major League Soccer,68,ST
228209,S. Ntshangase,Siphelele Leonard Ntshangase,26,1993-05-11,172,65,South Africa,Kaizer Chiefs,Rest of World,68,"CAM, CM, RW"
228508,F. Kalig,Fabian Kalig,26,1993-03-28,181,78,Germany,FC Erzgebirge Aue,German 2. Bundesliga,68,CB
229444,F. De Paul,Fernando Carlos De Paul Lanciotti,28,1991-04-25,183,84,Chile,Universidad de Chile,Chilian Campeonato Nacional,68,GK
229748,M. George,Mayron Antonio George Clayton,25,1993-10-23,190,80,Costa Rica,Vålerenga Fotball,Norwegian Eliteserien,68,"ST, RW"
229879,D. Romney,David Romney,26,1993-06-12,188,79,United States,LA Galaxy,USA Major League Soccer,68,"CB, LB, RB"
232900,C. Monschein,Christoph Monschein,26,1992-10-22,178,74,Austria,FK Austria Wien,Austrian Football Bundesliga,68,"ST, LM"
239093,J. Clauss,Jonathan Clauss,26,1992-09-25,185,72,France,DSC Arminia Bielefeld,German 2. Bundesliga,68,"RB, RM"
239357,C. Gebauer,Christian Gebauer,25,1993-12-20,187,75,Austria,SCR Altach,Austrian Football Bundesliga,68,"RM, ST"
241672,M. Lešković,Marko Lešković,28,1991-04-28,188,86,Croatia,Dinamo Zagreb,Rest of World,68,"CB, CDM"
244006,Lucas Áfrico,Lucas Henrique da Silva,24,1995-02-05,188,80,Brazil,Clube Sport Marítimo,Portuguese Liga ZON SAGRES,68,CB
244474,M. Bordeianu,Mihai Cătălin Bordeianu,27,1991-11-18,175,73,Romania,CFR Cluj,Romanian Liga I,68,CDM
248099,N. Roșu,Neluț Stelian Roșu,25,1993-07-05,175,75,Romania,Gaz Metan Mediaş,Romanian Liga I,68,"CAM, CM"
173531,B. Amos,Ben Amos,29,1990-04-10,193,76,England,Charlton Athletic,English League Championship,68,GK
182897,S. Bruzzese,Sébastien Bruzzese,30,1989-03-01,185,80,Belgium,KV Kortrijk,Belgian Jupiler Pro League,68,GK
183513,J. Grahl,Jens Grahl,30,1988-09-22,192,89,Germany,VfB Stuttgart,German 2. Bundesliga,68,GK
188836,J. Steele,Jason Steele,28,1990-08-18,188,79,England,Brighton & Hove Albion,English Premier League,68,GK
189110,P. Hanlon,Paul Hanlon,29,1990-01-20,185,70,Scotland,Hibernian,Scottish Premiership,68,CB
190438,F. Berge,Fredrik Semb Berge,29,1990-02-06,189,82,Norway,Odds BK,Norwegian Eliteserien,68,CB
190669,O. Jansson,Oscar Jansson,28,1990-12-23,187,82,Sweden,Örebro SK,Swedish Allsvenskan,68,GK
192363,M. Fenger,Mads Fenger,28,1990-09-10,185,81,Denmark,Hammarby IF,Swedish Allsvenskan,68,"CB, CDM"
193564,M. Álvarez,Marcos Álvarez,27,1991-09-30,179,77,Germany,VfL Osnabrück,German 2. Bundesliga,68,"CF, ST, CAM"
193772,A. Kovácsik,Ádám Gergely Kovácsik,28,1991-04-04,194,85,Hungary,,,68,GK
194198,J. Delle,Joris Delle,29,1990-03-29,189,84,France,Orlando Pirates,Rest of World,68,GK
197170,K. Harris,Kadeem Harris,26,1993-06-08,175,68,England,Sheffield Wednesday,English League Championship,68,"LW, RW, LM"
198011,T. Eaves,Tom Eaves,27,1992-01-14,197,86,England,Hull City,English League Championship,68,ST
198579,Tano Bonnin,Cayetano Bartolomé Bonnín Vásquez,29,1990-06-30,186,76,Dominican Republic,UD Almería,Spanish Segunda División,68,"CB, RB"
198731,E. Rashani,Elbasan Rashani,26,1993-05-09,181,71,Kosovo,Odds BK,Norwegian Eliteserien,68,"LW, RW"
199146,A. Halliday,Andrew Halliday,27,1991-10-18,173,67,Scotland,Rangers FC,Scottish Premiership,68,"LB, CDM, CM"
199498,G. Massey,Gavin Massey,26,1992-10-04,179,75,England,Wigan Athletic,English League Championship,68,RM
199574,A. Letellier,Alexandre Letellier,28,1990-12-11,193,93,France,Sarpsborg 08 FF,Norwegian Eliteserien,68,GK
199721,M. Gorgelin,Mathieu Gorgelin,28,1990-08-05,187,83,France,Le Havre AC,French Ligue 2,68,GK
199982,J. Van Damme,Joachim Van Damme,27,1991-07-23,195,94,Belgium,KV Mechelen,Belgian Jupiler Pro League,68,"CDM, CM, CB"
200346,M. Żyro,Michał Żyro,26,1992-09-20,189,78,Poland,Korona Kielce,Polish T-Mobile Ekstraklasa,68,"ST, RM"
200807,K. Freeman,Kieron Freeman,27,1992-03-21,178,79,Wales,Sheffield United,English Premier League,68,RWB
200954,D. Thomalla,Denis Thomalla,26,1992-08-16,186,75,Germany,1. FC Heidenheim 1846,German 2. Bundesliga,68,"ST, LM"
201061,E. Manu,Elvis Manu,25,1993-08-13,173,70,Netherlands,Beijing Renhe FC,Chinese Super League,68,"LM, ST"
201526,U. Bech,Uffe Manich Bech,26,1993-01-13,169,67,Denmark,Panathinaikos FC,Rest of World,68,"RM, LM, ST"
201925,K. Kraus,Kevin Kraus,26,1992-08-12,190,91,Germany,1. FC Kaiserslautern,German 3. Bundesliga,68,CB
202053,R. Miyaichi,宮市 亮,26,1992-12-14,183,71,Japan,FC St. Pauli,German 2. Bundesliga,68,"RM, LM"
202771,J. Newell,Joe Peter Newell,26,1993-03-15,185,79,England,Hibernian,Scottish Premiership,68,LM
202885,E. Rivera,Édson Ulises Rivera Vargas,27,1991-11-04,180,77,Mexico,Club Atlas,Mexican Liga MX,68,ST
203187,A. Salifu,Amidu Salifu,26,1992-09-20,182,78,Ghana,Fiorentina,Italian Serie A,68,CM
204132,A. Masika,Ayub Timbe Masika,26,1992-09-10,170,69,Kenya,Beijing Renhe FC,Chinese Super League,68,"LM, RW"
204786,S. Mladen,Sebastian Mladen,27,1991-12-11,188,84,Romania,FC Viitorul,Romanian Liga I,68,RB
205455,A. Weis,André Weis,29,1989-09-30,189,84,Germany,SSV Jahn Regensburg,German 2. Bundesliga,68,GK
205559,N. Dicko,Nouha Dicko,27,1992-05-14,173,74,Mali,Hull City,English League Championship,68,ST
205588,I. Höhn,Immanuel Höhn,27,1991-12-23,183,72,Germany,SV Darmstadt 98,German 2. Bundesliga,68,"CB, RB"
205846,David Bruno,David Carneiro Dias Resende Bruno,27,1992-02-14,175,64,Portugal,Astra Giurgiu,Romanian Liga I,68,RB
208523,S. Beltrame,Stefano Beltrame,26,1993-02-08,183,73,Italy,Juventus,Italian Serie A,68,"LW, CAM, CF"
208637,M. Lais,Marc Lais,28,1991-02-04,182,69,Germany,SSV Jahn Regensburg,German 2. Bundesliga,68,"CDM, CM"
208898,D. Łukasik,Daniel Łukasik,28,1991-04-28,179,73,Poland,Lechia Gdańsk,Polish T-Mobile Ekstraklasa,68,"CDM, CM"
209409,M. Marras,Manuel Marras,25,1993-07-09,168,63,Italy,Pescara,Italian Serie B,68,RW
209761,D. Steres,Daniel Steres,28,1990-11-11,183,77,United States,LA Galaxy,USA Major League Soccer,68,CB
209958,D. Bomheuer,Dustin Bomheuer,28,1991-04-17,193,86,Germany,1. FC Magdeburg,German 3. Bundesliga,68,CB
210134,M. Al Fatil,Mohammed Abdulhakem Al Fatil,27,1992-01-04,179,72,Saudi Arabia,Al Ahli,Saudi Abdul L. Jameel League,68,CB
210429,B. Addae,Bright Christopher Addae,26,1992-12-19,185,85,Ghana,Castellammare di Stabia,Italian Serie B,68,"CM, CDM"
210477,P. Möschl,Patrick Möschl,26,1993-03-06,174,68,Austria,SG Dynamo Dresden,German 2. Bundesliga,68,"RM, RW, LM"
211189,B. Meccariello,Biagio Meccariello,28,1991-03-27,187,85,Italy,Lecce,Italian Serie A,68,CB
211212,A. Oueslati,Abdelkader Oueslati Kaabi,27,1991-10-07,182,75,Tunisia,Al Fateh,Saudi Abdul L. Jameel League,68,CAM
211388,L. Ghiringhelli,Luca Ghiringhelli,27,1992-01-23,182,76,Italy,Cittadella,Italian Serie B,68,"RB, LB, RM"
